solving_time,carries
24.664,4
20.537,1
42.655,8
30.798000000000002,0
30.089000000000002,3
7.816,12
24.639,6
36.183,4
33.046,8
27.391,3
23.430999999999997,3
20.621,6
34.080999999999996,1
38.864000000000004,6
36.098,1
23.811,5
29.230999999999998,1
9.719,12
33.209,8
21.325,0
22.135,0
31.424,5
284.722,8
45.102,6
35.542,6
37.742,8
31.678,4
28.094,5
38.19,0
16.71,4
21.934,2
38.982,12
13.918,1
30.23,8
23.381999999999998,3
24.294,2
11.725999999999999,2
12.494000000000002,2
25.142,3
24.662,6
11.02,12
22.654,3
19.718,5
9.702,12
10.27,12
40.07,1
30.006,6
15.19,4
19.95,3
24.95,5
7.3660000000000005,0
19.046,6
29.238000000000003,5
25.182,3
4.51,0
5.142,0
28.991999999999997,1
5.166,0
19.046,4
13.582,4
24.198,8
27.558000000000003,8
12.325999999999999,2
8.422,12
13.838,1
16.694000000000003,1
18.086,5
80.02600000000001,3
44.633,0
82.786,6
69.098,8
187.78,12
83.29,4
40.649,4
127.955,12
28.855999999999998,2
32.792,5
35.233000000000004,1
21.928,12
32.04,3
22.616,1
37.184,2
28.616,2
40.673,4
8.992,5
30.193,6
34.657,6
27.795,4
23.264,5
19.136,0
20.768,2
21.432,4
28.031999999999996,3
28.736,8
23.738000000000003,1
20.168,8
29.849,8
24.055999999999997,8
33.089,5
6.768,12
6.81,12
27.176,1
20.048,0
24.568,0
21.281,0
19.634,1
24.728,2
26.649,3
27.951999999999998,5
20.48,3
19.128,6
36.552,6
21.487,3
15.582,1
22.406999999999996,5
3.926,0
26.566,2
48.585,12
30.159000000000002,0
40.927,8
17.86,0
102.545,12
19.774,0
51.104,1
31.318,2
101.978,8
260.096,8
24.686999999999998,2
35.975,1
37.375,6
30.775,3
22.814,6
65.08,4
34.207,5
4.862,12
66.024,2
20.558000000000003,3
10.645999999999999,6
8.966000000000001,0
29.726999999999997,3
19.174,4
21.79,4
37.631,5
21.941999999999997,6
61.048,5
47.255,8
13.734000000000002,12
23.151,2
12.998,8
15.214,4
42.216,4
11.638,12
50.856,6
38.727,1
28.255,5
27.503,1
11.734000000000002,3
7.358,0
25.862,3
40.766999999999996,3
29.061999999999998,4
36.774,2
24.615,3
36.861999999999995,12
17.011,2
33.238,8
42.672,6
11.700999999999999,2
19.285999999999998,4
30.061999999999998,8
35.334,5
15.277999999999999,2
9.946,0
25.331999999999997,6
20.662,6
12.593,0
15.044,0
41.326,12
34.535,6
12.036,1
8.262,12
41.608000000000004,8
25.514,5
7.325,2
19.774,3
28.119,1
18.668,4
12.568,6
16.285999999999998,1
9.408,1
22.776,5
37.215,8
9.309,12
23.283,8
2.57,0
6.78,12
24.203000000000003,4
26.766,4
16.177,1
12.715,3
27.142,5
19.165,5
103.447,0
38.799,2
333.18,8
48.216,4
50.159,1
42.919,12
31.896,6
46.911,6
46.783,5
32.079,2
33.999,1
37.431,3
39.632,4
44.086999999999996,0
37.711,8
43.255,2
34.634,2
57.191,5
33.359,6
25.976,8
82.559,3
53.33,1
30.746,0
39.175,5
25.737,0
28.551,5
38.559,8
32.727,12
23.487,4
47.151,6
29.519000000000002,3
55.321000000000005,1
27.232,0
9.853,12
5.591,12
32.327,2
7.263999999999999,12
40.071,3
55.967,4
42.783,8
42.903,1
51.151,3
40.830999999999996,6
24.079,4
36.824,5
102.663,4
18.766,1
37.022,2
19.942,0
27.046,6
64.43,12
3.95,12
30.398000000000003,5
17.654,2
24.198,3
10.614,12
24.565,0
21.061999999999998,0
5.558,8
27.398000000000003,6
17.774,2
21.79,4
15.998,0
18.814,6
51.926,4
30.006,8
6.55,12
34.958,0
31.246,5
20.518,8
23.462,3
22.55,4
24.95,8
5.894,12
18.422,6
18.197,4
19.486,8
22.31,3
16.51,2
21.334,2
23.79,5
21.294,3
21.366,1
19.166,6
22.294,1
14.597000000000001,1
16.782,3
34.718,5
16.894000000000002,1
17.406,5
38.758,5
72.35,12
26.398000000000003,4
22.75,4
16.854,0
10.158,12
22.965999999999998,3
8.142000000000001,12
5.093999999999999,12
19.454,1
20.878,5
17.262,2
24.182,1
25.991,4
44.551,3
