solving_time,operator
4.888,add
1.4480000000000002,add
2.432,add
2.2319999999999998,add
2.648,add
2.7439999999999998,add
12.607999999999999,add
1.432,add
2.32,add
5.272,add
8.256,add
1.3840000000000001,add
1.896,add
6.88,add
1.608,add
8.76,add
1.6,add
1.192,add
2.7760000000000002,add
9.264,add
2.6319999999999997,add
7.007999999999999,add
23.315,add
9.942,add
17.477999999999998,add
19.062,add
13.639000000000001,add
13.249,add
12.71,add
10.27,add
8.486,add
6.51,add
4.262,add
15.71,add
10.798,add
9.582,add
10.022,add
7.843999999999999,add
3.8280000000000003,add
18.697,add
11.734000000000002,add
10.694,add
7.086,add
12.55,add
2.8939999999999997,add
9.494,add
12.862,add
2.502,add
11.694,add
4.758,add
2.7739999999999996,add
2.11,add
7.67,add
7.782,add
7.782,add
2.51,add
2.302,add
9.702,add
1.6059999999999999,add
2.198,add
4.766,add
5.19,add
10.27,add
3.846,add
8.31,add
3.318,add
12.565999999999999,add
4.766,add
12.19,add
10.366,add
10.126,add
7.15,add
23.398000000000003,add
6.742000000000001,add
6.43,add
12.446,add
7.117999999999999,add
5.846,add
34.287,add
9.422,add
13.462,add
8.182,add
6.87,add
13.022,add
5.1739999999999995,add
14.734000000000002,add
10.342,add
16.125999999999998,add
11.422,add
17.198,add
7.1579999999999995,add
8.374,add
11.022,add
7.957999999999999,add
5.102,add
4.846,add
16.23,add
6.278,add
3.014,add
5.142,add
3.1660000000000004,add
5.542000000000001,add
15.854000000000001,add
3.91,add
9.07,add
2.23,add
26.487,add
9.822000000000001,add
5.11,add
13.245999999999999,add
5.55,add
6.574,add
13.23,add
11.966,add
14.022,add
10.174,add
10.437999999999999,add
6.678,add
4.27,add
5.59,add
14.542,add
3.7260000000000004,add
24.285999999999998,add
13.686,add
16.094,add
13.677999999999999,add
9.422,add
13.182,add
13.542,add
9.222000000000001,add
13.638,add
3.23,add
2.214,add
15.614,add
9.446,add
12.798,add
6.398,add
8.078,add
10.485999999999999,add
13.005999999999998,add
9.222000000000001,add
2.8139999999999996,add
8.533999999999999,add
7.39,add
12.494000000000002,add
10.422,add
8.446,add
9.606,add
11.062000000000001,add
6.854,add
8.502,add
2.6060000000000003,add
3.278,add
9.574,add
9.83,add
2.31,add
8.998,add
11.517999999999999,add
7.006,add
7.318,add
10.597999999999999,add
7.79,add
7.718,add
7.398,add
8.318,add
8.27,add
6.942,add
9.622,add
7.877999999999999,add
3.158,add
10.782,add
8.582,add
21.199,add
26.711,add
11.249,add
8.28,add
5.92,add
9.663,add
7.072,add
3.648,add
5.082,add
6.416,add
5.944,add
3.032,add
22.103,add
8.416,add
6.112,add
5.896,add
7.96,add
9.096,add
13.879000000000001,add
5.127999999999999,add
8.064,add
7.568,add
8.367,add
4.984,add
8.808,add
4.888,add
14.232000000000001,add
6.664,add
9.311,add
4.896,add
6.192,add
8.28,add
8.2,add
2.64,add
7.664,add
7.167999999999999,add
2.7910000000000004,add
2.224,add
4.872,add
4.8469999999999995,add
10.779000000000002,add
5.712000000000001,add
2.008,add
5.032,add
7.85,add
5.232,add
6.5360000000000005,add
8.527999999999999,add
7.712000000000001,add
8.048,add
15.99,add
6.07,add
5.2139999999999995,add
3.846,add
6.638,add
2.582,add
6.877999999999999,add
20.102,add
3.502,add
5.038,add
2.406,add
4.974,add
3.5180000000000002,add
8.75,add
6.558,add
2.222,add
3.15,add
7.3020000000000005,add
2.174,add
3.91,add
3.758,add
4.99,add
5.982,add
4.63,add
8.582,add
4.766,add
2.822,add
3.0380000000000003,add
4.102,add
8.47,add
1.574,add
6.757999999999999,add
7.053999999999999,add
9.422,add
6.317,add
2.0140000000000002,add
3.222,add
2.134,add
4.276,add
2.222,add
7.797999999999999,add
5.39,add
9.406,add
18.862000000000002,add
2.95,add
7.15,add
4.966,add
6.494,add
2.846,add
1.3659999999999999,add
10.712,add
3.842,add
15.584000000000001,add
4.0,add
23.783,add
17.312,add
21.928,add
19.143,add
8.352,add
24.718000000000004,add
7.832000000000001,add
7.5760000000000005,add
24.215999999999998,add
11.895999999999999,add
20.815,add
13.296,add
9.888,add
14.344000000000001,add
10.392000000000001,add
9.031,add
7.5120000000000005,add
8.568,add
8.816,add
7.671,add
14.552,add
15.52,add
5.192,add
10.238999999999999,add
9.168,add
10.192,add
7.656000000000001,add
8.056000000000001,add
6.36,add
10.4,add
5.157,add
11.703,add
3.3760000000000003,add
3.096,add
9.36,add
10.864,add
8.752,add
2.3680000000000003,add
3.608,add
2.312,add
3.072,add
5.112,add
2.7760000000000002,add
9.112,add
9.776,add
17.377,add
17.75,add
9.869,add
24.013,add
13.118,add
4.3580000000000005,add
10.918,add
2.859,add
10.79,add
8.357000000000001,add
